species	Merian	nb_fusion	nb_fission	size	chrom_size	tot_bp_A	tot_bp_B	avg_PC1	avg_insulation	avg_TAD_length	avg_ratio_inter_intra	avg_S	avg_slope_loglog_all	avg_slope_loglog_0_10	avg_R1_interchrom	avg_R1_interchrom_norRNA	strength
Eembla	M13	0	0	17528343	17583662	3760000	11840000	-0.331095	0.0715544	337143	15.8063	2.09324	-0.3256	-0.41587	0.00153715	0.00153542	3.283159524
Eepiphron	M13	7	0	15285103	35106303	11920000	2240000	0.430344	0.203492	325130	8.09095	2.08685	-0.688593	-0.783683	0.00122617	0.00121415	1.088508099
Eeriphyle	M13	0	0	15920970	15934254	11160000	3720000	0.334652	0.0605188	299442	9.72392	2.14999	-0.294198	-0.373848	7.67229e-4	7.68216e-4	3.981433842
Eflavofasciata	M13	4	0	15281233	35455226	4080000	10680000	-0.306027	0.124003	324574	3.37596	2.43788	-0.46925	-0.542794	6.70189e-4	6.72425e-4	2.466290807
Egorge	M13	6	0	14942340	35929433	7160000	6800000	0.0638702	0.0528698	325178	6.18408	2.22571	-0.391564	-0.512808	6.95023e-4	6.92831e-4	0.939453046
Eligea	M13	0	0	15452162	15472711	10560000	3880000	0.375672	0.0415209	328957	0.928365	2.52757	-0.285348	-0.399196	0.00226005	0.00227867	3.246164608
Emanto	M13	0	0	15504066	15513133	4800000	9920000	-0.272673	0.0487537	303840	24.2662	2.40815	-0.321032	-0.435734	3.31532e-4	3.31957e-4	2.901839436
Emedusa	M13	5	0	15161430	44870653	680000	13360000	-0.615044	0.10931	344535	7.55244	2.30876	-0.545721	-0.588899	2.81748e-4	2.83569e-4	1.219463745
Emelampus	M13	2	0	14448246	21913403	4440000	8920000	-0.261112	0.108962	298771	11.3104	2.28585	-0.477914	-0.587454	4.39607e-4	4.394e-4	2.105924647
Emelancholica	M13	8	2	14590917	25262993	10320000	3840000	0.331871	-0.0629286	310478	12.837	2.22388	-0.316678	-0.413663	7.31173e-4	7.32656e-4	1.919545454
Emeolans	M13	5	0	14387079	32092500	3360000	10640000	-0.353643	0.0845558	320628	7.39886	2.15596	-0.542491	-0.611712	3.71579e-4	3.69304e-4	2.710189172
Emnestra	M13	4	0	13908745	66522839	2360000	10960000	-0.533753	0.0521249	274500	2.69624	2.20354	-0.712813	-0.753587	4.23983e-4	4.19857e-4	2.512256723
Emontana	M13	8	2	15771616	27287710	11560000	3280000	0.338979	-0.0311618	339391	11.4457	2.25915	-0.309582	-0.401078	2.1075e-4	2.10072e-4	1.928566407
Epalarica	M13	5	0	14838949	33035662	6240000	7880000	0.0864492	0.0923995	308915	4.28262	2.54142	-0.906389	-0.934502	0.00104233	0.00103207	2.404941784
Epharte	M13	7	0	17751931	31029253	10360000	1720000	0.545369	0.0701275	468459	1.52931	2.74887	-0.867833	-0.776753	0.00254408	0.00254966	2.516358817
Epronoe	M13	8	2	14354510	47411051	8360000	2880000	0.39436	0.0745577	592217	1.15146	2.8818	-0.984565	-0.923365	0.00271175	0.00270959	2.851386029
Erondoui	M13	6	14	15520135	16806137	11040000	3600000	0.323574	0.0780807	340886	18.5429	2.166	-0.275852	-0.391207	6.46528e-4	6.44419e-4	3.021558435
Estirius	M13	8	2	15396417	26671853	10680000	3640000	0.389599	-0.00892524	299471	5.36646	2.26327	-0.441818	-0.48496	5.26559e-4	5.34772e-4	2.115380132
Esudetica	M13	2	0	14541869	22049453	3840000	9520000	-0.334353	0.109685	321250	15.721	2.39512	-0.568241	-0.612667	3.69413e-4	3.6714e-4	2.657021279
Etriaria	M13	5	0	13908511	43386010	360000	13080000	-0.678997	0.211112	301378	6.97979	2.30149	-0.534934	-0.590598	8.04368e-4	7.97093e-4	1.733553949
Mcinxia	M13	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mjurtina	M13	0	0	12109779	12129657	NA	NA	NA	NA	292800	29.8793	2.15016	-0.164057	-0.242662	4.08043e-4	4.10682e-4	1.983936169
X2575	M13	0	0	16174239	16223357	10000000	5120000	0.277468	0.041442	310324	3.62351	2.39804	-0.306268	-0.37241	0.00159537	0.00159766	3.305622768
X2576	M13	0	0	16838726	16852186	11440000	4080000	0.326267	0.0554497	343479	3.74859	2.40781	-0.281723	-0.396062	0.00177537	0.00178223	2.103121158
X3252	M13	0	0	17584656	17641999	3920000	11560000	-0.302086	0.0667127	382356	8.09467	2.50875	-0.434018	-0.39529	0.00124098	0.00124583	2.881516302
X3258	M13	6	13	14043079	53625971	11720000	1560000	0.525664	0.185498	316070	2.22808	2.28722	-0.546842	-0.552834	0.00130661	0.00129674	3.128520434
X3311	M13	5	0	13792400	33279962	2960000	10040000	-0.300303	0.057111	321857	4.07882	2.24386	-0.456146	-0.519923	0.00181642	0.00182884	2.506971194
X3506	M13	5	0	15442513	27042848	10760000	3840000	0.399119	-0.0371305	294962	0.739588	2.36899	-0.430954	-0.525357	9.23937e-4	9.34563e-4	2.61408991
X3531	M13	6	14	14841365	53695017	8840000	5160000	0.324865	-0.0243664	298562	0.885426	2.38812	-0.583229	-0.615287	0.00132787	0.00132586	3.59870367
X3737	M13	6	13	15430151	53234969	9760000	4680000	0.345397	-0.00392313	274018	0.916113	2.25341	-0.749255	-0.80145	0.00153867	0.00155466	3.104347186
C0001	M14	3	0	12701360	32829219	8600000	3200000	0.254433	-0.0173869	272698	4.42269	2.54986	-0.724444	-0.767978	0.00108963	0.00108533	2.915288967
C0055	M14	0	1	13398124	10310800	5120000	7320000	-0.175955	0.0846328	297698	6.72116	2.36342	-0.478384	-0.478384	0.00139986	0.00139511	3.627597114
C0080	M14	2	12	13219117	59976555	3680000	8880000	-0.332723	0.00900842	284636	1.16806	2.43581	-1.10968	-1.07692	5.20804e-4	5.12155e-4	3.465428517
C0100	M14	1	12	13934694	9265440	7520000	5800000	0.183838	0.0553571	309720	31.8559	2.42283	-0.196987	-0.196987	2.77667e-4	2.78326e-4	4.532952535
Eaethiops	M14	1	0	11944531	17872315	4680000	6280000	-0.114158	0.0598766	269500	21.3006	2.73365	-0.465019	-0.504103	8.44081e-4	8.4777e-4	2.974554874
Ealbergana	M14	2	0	12041902	25213507	5280000	5840000	-0.186845	0.0293826	968636	1.30963	3.40139	-1.21701	-1.2038	0.00152611	0.00152705	3.779637838
Ebubastis	M14	0	0	13603949	20259637	4120000	8800000	-0.246831	0.0855574	270766	13.5998	2.29276	-0.554145	-0.602735	2.43306e-4	2.41879e-4	2.47834649
Echristi	M14	1	0	15019409	22353776	10960000	3480000	0.300117	0.0303619	298277	12.6052	2.58355	-0.675021	-0.708202	3.79605e-4	3.83981e-4	2.539717322
Edisa	M14	0	0	15844106	24203499	3840000	10680000	-0.273161	5.24225e-5	306170	10.41	2.23675	-0.515832	-0.593032	7.16657e-4	7.07011e-4	2.622528651
Eembla	M14	0	0	14455652	22576108	3960000	9400000	-0.24907	0.0492025	316682	11.2798	2.21703	-0.521051	-0.580676	0.00149038	0.001489	2.654040163
Eepiphron	M14	4	0	14240832	52270995	10480000	2760000	0.332509	0.0334065	334293	5.19232	2.16184	-1.07726	-1.08787	0.00119147	0.00120594	2.380823162
Eeriphyle	M14	0	0	13035012	19542745	6840000	5720000	0.154401	0.0773902	307718	7.74477	2.28121	-0.514533	-0.546391	8.03469e-4	8.07906e-4	4.007698432
Eflavofasciata	M14	1	0	14337090	21666707	5200000	8440000	-0.214016	0.0722572	282638	6.35379	2.51122	-0.624518	-0.658754	6.64123e-4	6.57451e-4	2.87431291
Egorge	M14	3	0	12566613	19185496	9320000	2760000	0.266718	0.0559266	273205	12.2728	2.36082	-0.69775	-0.721761	6.70608e-4	6.67156e-4	3.377960662
Eligea	M14	0	0	13471064	20014386	7960000	4560000	0.279775	0.0498792	333026	0.66951	2.67838	-0.669812	-0.698774	0.00224081	0.00224218	2.862189752
Emanto	M14	0	0	13270665	20207894	4600000	8080000	-0.229233	0.0814143	296244	18.0772	2.50527	-0.704389	-0.731097	3.31204e-4	3.3151e-4	2.901678099
Emedusa	M14	4	0	12545298	38445556	4440000	7600000	-0.191216	0.00566106	301175	8.6831	2.35517	-0.645974	-0.674376	2.7167e-4	2.74116e-4	2.634155845
Emelampus	M14	1	0	13168111	35533038	9280000	3240000	0.26719	-0.0170716	288455	6.09794	2.38554	-0.808742	-0.829587	4.43314e-4	4.48099e-4	2.59411756
Emelancholica	M14	2	0	13026054	19392958	4280000	8160000	-0.229242	0.053706	273864	18.0602	2.33902	-0.622054	-0.642854	7.25542e-4	7.25763e-4	2.62980951
Emeolans	M14	4	0	13077464	37126058	10120000	2520000	0.317167	-0.0439716	303250	6.15414	2.25876	-0.880347	-0.88945	3.69234e-4	3.64646e-4	2.907643902
Emnestra	M14	2	0	11936234	49598398	7040000	4520000	0.0921725	-0.0582703	273390	3.94031	2.28951	-0.845463	-0.862348	4.03979e-4	4.05548e-4	2.954174438
Emontana	M14	2	0	14567125	21382799	9960000	3760000	0.239217	0.0815602	307065	15.052	2.34718	-0.524707	-0.578883	2.19835e-4	2.21849e-4	2.426290681
Epalarica	M14	4	0	13983000	38453788	8400000	4960000	0.211256	-0.0252034	271480	3.78463	2.55679	-1.06164	-1.09687	0.0010014	0.00100722	2.417845073
Epharte	M14	4	0	16573839	46867384	4000000	6720000	-0.293877	0.0108885	399750	0.977913	2.79176	-1.00696	-0.897292	0.00250689	0.00250485	2.495491427
Epronoe	M14	2	0	13195254	19242511	2560000	7240000	-0.412958	0.102724	491400	3.22629	2.89899	-0.797884	-0.829736	0.00267289	0.00267768	2.909432689
Erondoui	M14	2	12	14775287	21816679	9680000	4320000	0.263674	0.070312	310717	13.6886	2.25184	-0.60561	-0.614849	6.48543e-4	6.45843e-4	2.670541381
Estirius	M14	2	0	14006510	20720600	4160000	9160000	-0.253839	0.0613762	304326	7.69442	2.34976	-0.602029	-0.645733	5.17109e-4	5.145e-4	2.856991281
Esudetica	M14	1	0	13066170	35197135	5760000	6760000	-0.135411	-0.0408843	280429	8.63416	2.44343	-0.897208	-0.91683	3.8017e-4	3.79322e-4	3.213884928
Etriaria	M14	4	0	12308567	38050333	6040000	5880000	-0.0385752	0.114473	286700	7.68931	2.3361	-0.685559	-0.717444	8.02936e-4	8.1086e-4	3.180485131
Mcinxia	M14	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mjurtina	M14	0	0	9945668	14823703	NA	NA	NA	NA	261657	24.63	2.21547	-0.452336	-0.452336	3.41062e-4	3.41188e-4	2.661095906
X2575	M14	0	0	14367699	21449587	10200000	3240000	0.286187	0.0877886	321302	2.74133	2.52121	-0.597114	-0.60083	0.00167116	0.00168113	3.2121706
X2576	M14	0	0	14540990	22091815	3760000	9800000	-0.26897	0.115749	291673	2.87898	2.55417	-0.591657	-0.596394	0.0017269	0.00172082	2.629967508
X3252	M14	0	0	13659278	21869088	4720000	8080000	-0.224828	0.0149397	396706	5.72656	2.56276	-0.408688	-0.466893	0.00127262	0.00127117	2.882873964
X3258	M14	4	12	13977236	55816921	10040000	3040000	0.329333	0.047065	298311	2.0031	2.3817	-0.753547	-0.741654	0.00122431	0.00123156	3.233322411
X3311	M14	2	0	11666200	27359167	8320000	3040000	0.236634	0.177222	265744	5.99268	2.27783	-0.741871	-0.747839	0.00178559	0.00179297	3.050891112
X3506	M14	2	0	13402276	21222259	8360000	4320000	0.270858	0.020894	296500	1.09486	2.46319	-0.592153	-0.649133	8.5288e-4	8.47253e-4	3.190374513
X3531	M14	2	12	13528092	60656581	10480000	2360000	0.466256	0.102178	287289	0.840705	2.43726	-1.01026	-0.98282	0.00134645	0.00134664	4.03240221
X3737	M14	4	12	13354649	53552572	9080000	3720000	0.320145	-0.0168063	284739	1.16891	2.25109	-0.96941600000000006	-0.949179	0.00153803	0.00154465	3.9105218
C0001	M15	1	1	15579242	15615253	6920000	8120000	-0.148939	0.0446054	240541	10.7307	2.43626	-0.500334	-0.533857	0.00100868	0.0010048	3.18919021
C0055	M15	0	1	17896190	9252840	9520000	6640000	0.141179	0.0948943	290729	8.1041	2.3122	-0.756131	-0.756131	0.00157112	0.00155893	4.800852347
C0080	M15	4	5	19184194	59976555	6360000	11680000	-0.212444	-0.0417538	277712	0.894678	2.35571	-1.07095	-0.958697	5.41797e-4	5.38204e-4	3.767256202
C0100	M15	2	5	16900402	11038437	8680000	7600000	0.139998	0.0566337	261197	24.0819	2.29685	-0.283315	-0.283315	2.77438e-4	2.75214e-4	3.578025803
Eaethiops	M15	0	1	15854428	15858049	6200000	8240000	-0.197348	0.0817348	290220	24.3557	2.63657	-0.320456	-0.381827	8.70193e-4	8.68409e-4	2.852954073
Ealbergana	M15	1	1	15580853	31850052	7240000	7080000	-0.154145	0.00564807	753278	1.35503	3.31269	-1.10472	-1.02426	0.00156307	0.00156458	3.779174304
Ebubastis	M15	0	0	17114045	17123770	4480000	11600000	-0.341445	0.0857432	240406	16.8186	2.18322	-0.470942	-0.454767	2.4653e-4	2.48221e-4	4.299839942
Echristi	M15	1	1	18219621	27417447	5200000	12240000	-0.282985	0.0926053	256014	10.1236	2.44701	-0.811611	-0.716684	3.62144e-4	3.60906e-4	3.001914868
Edisa	M15	0	0	19352464	19479983	5040000	12520000	-0.335887	0.093129	296811	14.2812	2.08342	-0.502385	-0.521783	6.90405e-4	6.98348e-4	3.408130473
Eembla	M15	0	0	18519609	18559462	4320000	12840000	-0.334712	0.0784994	266923	14.4385	2.07272	-0.483592	-0.508547	0.00151791	0.00153573	3.062076385
Eepiphron	M15	2	1	17656230	26292596	5000000	11160000	-0.286461	0.132992	254603	11.2923	2.06601	-0.990691	-0.954443	0.00124746	0.00125177	3.165089497
Eeriphyle	M15	0	0	16608811	16632391	6919128	9120000	0.0855605	0.0460335	256935	9.4199	2.15171	-0.446537	-0.435961	0.00074616700000000005	7.5095e-4	4.199571337
Eflavofasciata	M15	0	1	17904295	17976579	5600000	11440000	-0.28209	0.0502882	294246	7.58141	2.44239	-0.571364	-0.565867	6.66027e-4	6.59423e-4	3.10095689
Egorge	M15	1	1	16173628	16197620	5360000	10120000	-0.288147	0.0445832	242719	14.3585	2.2541	-0.48848	-0.532536	6.8585e-4	6.83372e-4	3.364462294
Eligea	M15	0	0	16796119	16801296	4480000	11160000	-0.361215	0.0558711	254048	0.815312	2.52485	-0.60952	-0.537941	0.00231705	0.00231363	3.844759005
Emanto	M15	0	0	17119935	17152945	5560000	10760000	-0.305014	0.0595493	257603	21.6262	2.36117	-0.528076	-0.586872	3.37605e-4	3.37304e-4	2.88686237
Emedusa	M15	4	1	15853350	34384168	4320000	10840000	-0.25676	0.083608	246864	9.79334	2.24536	-0.69189	-0.679448	2.69109e-4	2.68792e-4	2.595897729
Emelampus	M15	0	1	16603605	16622190	5040000	10400000	-0.284891	0.0798853	273263	16.0333	2.30294	-0.530247	-0.536845	4.40214e-4	4.4013e-4	3.005404058
Emelancholica	M15	4	2	16692366	16729225	5320000	10640000	-0.310822	0.0605479	270828	20.6906	2.21568	-0.499508	-0.473934	7.38786e-4	0.00073976999999999995	3.257637678
Emeolans	M15	4	1	17707108	56828746	5200000	11960000	-0.304722	-0.0196257	301397	3.54376	2.13929	-0.945167	-0.849891	3.89259e-4	3.9338e-4	2.645680816
Emnestra	M15	1	1	14831391	30938836	5520000	8713291	-0.315108	0.0435143	233317	6.83026	2.18511	-0.785026	-0.75947	4.07929e-4	4.08256e-4	2.841771967
Emontana	M15	5	2	18117381	18191968	4600000	12240000	-0.318006	0.108433	269262	18.2433	2.26503	-0.489887	-0.480229	2.13119e-4	2.14397e-4	2.837249826
Epalarica	M15	4	1	19731977	60991950	5880000	12640000	-0.195335	0.022759	257635	2.11376	2.48342	-1.06445	-1.09248	0.00109795	0.00111764	2.204009307
Epharte	M15	2	1	20000431	20000704	3400000	10400000	-0.444691	0.0749036	443047	2.28088	2.58525	-0.875769	-0.750231	0.00247589	0.00247606	3.694841798
Epronoe	M15	4	2	16096664	24606128	3120000	9600000	-0.494865	0.142243	421608	2.36016	2.76145	-1.02052	-0.943909	0.00265144	0.00265851	4.078924773
Erondoui	M15	4	5	18623389	18668721	13120000	4440000	0.32738	0.0728709	273985	16.4609	2.15648	-0.436084	-0.478045	6.44013e-4	6.42723e-4	2.846893607
Estirius	M15	5	2	17833505	36554421	5120000	11280000	-0.337025	0.0809132	279790	3.91352	2.19985	-0.76902	-0.717249	5.45218e-4	5.50065e-4	2.91553906
Esudetica	M15	0	1	16411564	16421478	6280000	9160000	-0.288646	0.0770069	261867	21.6357	2.33178	-0.510339	-0.571186	3.55407e-4	3.53985e-4	3.395355381
Etriaria	M15	4	1	15616691	33305585	7280000	7800000	-0.162261	0.109743	252533	8.69969	2.25433	-0.791814	-0.779197	8.16435e-4	8.2113e-4	3.040387513
Mcinxia	M15	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mjurtina	M15	0	0	13699698	13711445	NA	NA	NA	NA	236981	26.7215	2.1551	-0.386822	-0.346704	3.88923e-4	3.88769e-4	3.448455985
X2575	M15	0	0	17473854	17487039	9480000	6960000	0.253427	0.0494929	261234	3.34374	2.40247	-0.510779	-0.464708	0.00164015	0.00162948	3.524379059
X2576	M15	0	0	17834203	18418506	12600000	3760000	0.355722	0.0523906	258431	3.40145	2.41429	-0.661922	-0.549744	0.00176808	0.00177954	3.296375077
X3252	M15	0	0	17844053	17852352	6200000	10480000	-0.232557	0.0625842	346286	7.61905	2.46078	-0.354074	-0.38508	0.00130758	0.00131941	2.971043841
X3258	M15	5	5	17177625	38661208	7320000	8840000	0.0566702	0.043687	265065	3.12119	2.2558	-0.735532	-0.64895	0.00127869	0.00129273	3.122266351
X3311	M15	2	1	15228915	42165168	7640000	6720000	0.193149	0.0373935	245267	3.02981	2.20847	-0.68689	-0.666493	0.00191002	0.00191122	2.779853657
X3506	M15	2	1	17883711	17924568	11880000	4880000	0.350951	0.043624	270317	1.30968	2.38386	-0.646757	-0.571818	8.81987e-4	8.95268e-4	4.024757844
X3531	M15	4	5	17398969	55578212	13080000	3560000	0.166286	0.0824125	260746	0.960192	2.34354	-0.825885	-0.712239	0.00139249	0.00137869	2.876464455
X3737	M15	5	5	18330662	73356314	11560000	5560000	0.317609	0.0142715	245648	0.749915	2.20389	-1.09032	-0.955091	0.00156549	0.00155566	3.235509008
C0001	M16	3	0	16998161	35650991	6520000	9920000	-0.0494041	0.0518197	312673	3.54991	2.40011	-0.549692	-0.648631	0.00109526	0.00109634	3.180803591
C0055	M16	0	0	18672995	18692727	6520000	11196436	-0.024795	0.0415371	300288	2.90436	2.26799	-0.478139	-0.656462	0.00136263	0.0013505	4.330462484
C0080	M16	1	0	17277189	57446302	NA	NA	NA	NA	299179	NA	NA	-0.816294	-0.851836	4.68662e-4	4.61434e-4	1.399069352
C0100	M16	0	0	17572194	17749768	NA	NA	NA	NA	305411	NA	NA	-0.490421	-0.635494	2.74347e-4	2.74669e-4	4.06131886
Eaethiops	M16	2	2	16476919	23813336	4680000	10480000	-0.243413	0.0827477	348609	16.1042	2.66195	-0.477707	-0.546295	8.48966e-4	8.48906e-4	2.886355754
Ealbergana	M16	2	0	16395779	46340248	7760000	7240000	0.0433196	0.0155567	1183550	1.00317	3.34455	-1.13238	-1.10784	0.00153358	0.00153369	3.177710082
Ebubastis	M16	0	0	18025063	18193014	4600000	12560000	-0.304626	0.0579556	320037	15.3121	2.07977	-0.311312	-0.473109	2.33028e-4	2.32296e-4	3.668843885
Echristi	M16	2	2	19553994	19553994	14240000	4360000	0.318427	0.0388136	318712	14.5605	2.36715	-0.325681	-0.532286	3.67545e-4	3.66664e-4	3.375600171
Edisa	M16	0	0	20369522	20569594	14480000	4080000	0.334074	0.0782381	340681	13.538	1.99727	-0.297042	-0.509711	7.14474e-4	7.16624e-4	4.097959877
Eembla	M16	0	0	19818466	20038466	5880000	12480000	-0.271396	0.0829	328559	13.2508	1.99743	-0.255998	-0.460084	0.00147313	0.00146016	3.552205009
Eepiphron	M16	3	2	19050247	19094785	9960000	7680000	0.235104	0.0862523	331091	15.2463	2.02126	-0.523294	-0.814059	0.00122193	0.00123768	3.565138323
Eeriphyle	M16	0	0	17800922	17962428	7120000	10000000	0.159373	0.0399132	311727	8.34405	2.08155	-0.218972	-0.441518	7.3376e-4	7.41634e-4	5.305403752
Eflavofasciata	M16	2	2	19108761	19417399	6800000	11560000	-0.0994516	0.0494999	318737	6.87573	2.37108	-0.450775	-0.60262	6.49665e-4	6.4457e-4	3.450548973
Egorge	M16	3	0	16755619	36204596	3640000	12360000	-0.293757	0.0863904	298278	6.05167	2.17032	-0.575532	-0.691417	6.85044e-4	6.83344e-4	3.885292327
Eligea	M16	0	0	18686019	18730306	9760000	7520000	0.279044	0.0448774	303729	0.703291	2.45084	-0.337938	-0.547366	0.00226336	0.00224525	4.430317678
Emanto	M16	0	0	18243073	18256441	6320000	11240000	-0.239361	0.0426124	336423	19.7569	2.32761	-0.373534	-0.53192	3.37087e-4	3.36035e-4	3.062033995
Emedusa	M16	4	0	17194769	56675833	NA	NA	NA	NA	321731	NA	NA	-0.583295	-0.658453	2.70443e-4	2.70469e-4	1.740438052
Emelampus	M16	0	0	17062668	17268259	5600000	10680000	-0.206053	0.0621551	307717	14.5794	2.17934	-0.383281	-0.55917	4.35117e-4	4.33734e-4	3.648071801
Emelancholica	M16	3	2	17385496	17413135	5440000	11280000	-0.266109	0.0468985	340571	19.651	2.13336	-0.329549	-0.471977	7.33233e-4	7.31216e-4	2.942351701
Emeolans	M16	3	0	17329103	33909082	6800000	9920000	-0.127719	0.0899807	331400	7.10764	2.07275	-0.707689	-0.764636	3.67715e-4	3.69308e-4	3.216998821
Emnestra	M16	3	0	17353941	49598398	4920000	11640000	-0.396977	0.0477776	301589	3.68193	2.1326	-0.926246	-0.914549	4.07783e-4	4.09326e-4	3.2900829
Emontana	M16	4	2	18746902	18991057	3720000	14000000	-0.307017	0.0726012	343434	17.4123	2.15296	-0.296692	-0.478545	2.14709e-4	2.14664e-4	3.258170468
Epalarica	M16	3	0	17935366	35371117	7280000	10040000	-0.0893699	0.10104	308536	4.04181	2.50343	-0.925072	-0.935365	0.00103916	0.00104376	3.014730595
Epharte	M16	3	2	22156214	46867384	2080000	13080000	-0.61588	0.183764	437460	1.08178	2.62776	-0.970678	-0.748827	0.00254304	0.00253971	2.722076623
Epronoe	M16	3	2	17428771	17452225	4440000	9520000	-0.386282	0.039568	556250	3.13618	2.6956	-0.722245	-0.769216	0.00263394	0.00264698	3.471755711
Erondoui	M16	2	0	20057368	20162065	NA	NA	NA	NA	344357	NA	NA	-0.315936	-0.513969	6.67462e-4	6.67881e-4	3.590611008
Estirius	M16	4	2	18069239	35319501	1600000	15600000	-0.572373	0.0991613	292200	4.28288	2.11435	-0.477904	-0.568213	5.1678e-4	5.16887e-4	1.387056268
Esudetica	M16	0	0	17325748	17366694	5480000	10840000	-0.260178	0.0786403	297018	19.831	2.31307	-0.395242	-0.552508	3.62822e-4	3.61723e-4	3.5949777
Etriaria	M16	4	0	17048269	17084525	NA	NA	NA	NA	305231	NA	NA	-0.533598	-0.686137	7.88207e-4	7.82357e-4	3.004034904
Mcinxia	M16	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mjurtina	M16	0	0	14919594	15073875	NA	NA	NA	NA	281549	23.9975	2.0475	-0.224545	-0.373689	3.89043e-4	3.88565e-4	3.10936943
X2575	M16	0	0	19278277	19301444	9320000	8760000	0.228907	0.0506577	327070	2.74099	2.28431	-0.372452	-0.483467	0.00168682	0.00168596	4.046532225
X2576	M16	0	0	20124663	20156588	10400000	7960000	0.233363	0.0613017	300333	2.72135	2.3218	-0.349137	-0.50722	0.00171289	0.00171669	3.648098539
X3252	M16	0	0	19786851	19821673	5640000	12840000	-0.267634	0.0572446	402223	6.53841	2.48689	-0.289599	-0.37437	0.00131869	0.00133485	3.149253072
X3258	M16	1	0	18101298	59643170	NA	NA	NA	NA	320691	NA	NA	-0.661981	-0.690954	0.00119644	0.00121028	3.422829607
X3311	M16	3	2	16471914	36925002	5200000	10680000	-0.0972846	0.0763304	315800	3.49626	2.18714	-0.635823	-0.697686	0.00180005	0.00179905	3.013145016
X3506	M16	3	2	18637485	18711795	6200000	11360000	0.0901104	0.0438829	289742	1.28335	2.29022	-0.283117	-0.518082	8.53309e-4	8.5621e-4	4.689690857
X3531	M16	2	0	18458769	62330422	NA	NA	NA	NA	287129	NA	NA	-0.805205	-0.776293	0.00127535	0.00128049	3.649133969
X3737	M16	1	0	17971471	59681672	NA	NA	NA	NA	296678	NA	NA	-0.773576	-0.853907	0.00133118	0.00133361	4.318780738
C0001	M20M17	3	0	19506392	19685649	9080000	9880000	-0.0241094	0.0310802	259541	8.41292	2.50969	-0.452398	-0.676796	9.99102e-4	9.89721e-4	3.694963164
C0055	M20M17	0	1	22286676	11173110	9000000	11520000	-0.124999	0.0621737	260171	5.76379	2.37785	-0.318635	-0.414937	0.00138523	0.00137601	4.552671352
C0080	M20M17	1	3	22137658	45996402	9720000	11200000	-0.191214	-0.0152626	253872	1.45314	2.44132	-1.04767	-1.04359	4.75889e-4	4.76539e-4	3.394999749
C0100	M20M17	0	3	21900190	7337928	10600000	10560000	0.147714	0.0465174	291914	36.3742	2.36057	-0.262529	-0.262529	2.6747e-4	2.66393e-4	4.593754781
Eaethiops	M20M17	1	0	18996477	29890253	2680000	14640000	-0.471474	0.166934	269800	14.2277	2.70659	-0.528904	-0.62829	8.21503e-4	8.20503e-4	2.710833749
Ealbergana	M20M17	0	0	20984966	21037838	8160000	9480000	0.00599815	0.0181323	843750	1.56739	3.39676	-0.86469	-1.12209	0.00160484	0.00160769	5.969224829
Ebubastis	M20M17	0	0	21482030	21747355	6200000	14160000	-0.310421	0.0677618	270269	12.8615	2.26339	-0.340506	-0.596476	2.41284e-4	2.42696e-4	4.18789466
Echristi	M20M17	2	0	23373479	23429299	6840000	15440000	-0.307023	0.0454493	260852	11.9054	2.54814	-0.554157	-0.804038	3.78852e-4	3.79127e-4	3.167050305
Edisa	M20M17	0	0	25334249	25352350	8320000	14760000	-0.286699	0.0829784	306914	10.544	2.17661	-0.346028	-0.662829	6.97099e-4	6.94986e-4	3.521753917
Eembla	M20M17	0	0	23807703	23815523	7680000	14600000	-0.260929	0.0660228	282373	10.7181	2.18278	-0.277639	-0.570875	0.00148006	0.00148785	3.487037616
Eepiphron	M20M17	3	0	22328095	22597815	8560000	12000000	-0.18449	0.0989405	285026	13.597	2.13145	-0.781358	-1.06172	0.00120587	0.00121946	3.290735866
Eeriphyle	M20M17	0	0	21020908	21028446	10440000	9760000	0.102168	0.0450821	255938	7.13962	2.25936	-0.403555	-0.610339	7.52679e-4	7.55596e-4	6.071516341
Eflavofasciata	M20M17	2	0	23138300	42941423	10600000	11640000	-0.140539	-0.0256944	274410	2.74223	2.50632	-0.723467	-0.759814	6.86228e-4	6.92385e-4	2.789987402
Egorge	M20M17	3	0	20155198	36499850	8800000	10560000	-0.173719	0.0565813	267459	6.23041	2.29432	-0.645875	-0.771939	6.62155e-4	6.61309e-4	4.52545654
Eligea	M20M17	0	0	21836642	22078005	14440000	5680000	0.378197	0.0460811	272481	0.612426	2.66302	-0.503752	-0.705562	0.00217848	0.00217051	4.015088272
Emanto	M20M17	0	0	21090902	21320447	8200000	12080000	-0.248073	0.0431638	265756	17.087	2.45797	-0.544434	-0.747944	3.32185e-4	3.33798e-4	2.915377028
Emedusa	M20M17	2	0	21303957	57750468	7040000	13320000	-0.229169	-0.00588147	275312	5.33655	2.30653	-1.00206	-0.94274	2.64515e-4	2.65184e-4	3.021299761
